staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,orientation,absolute orientation value
32,0.5,1.5,57.8360376,58.3365545,58.3365545,58.3365545,58.6362992,1.5,1,0.6485276,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
33,0.5,1,59.0028658,59.5032725,59.5032725,59.5032725,59.8030595,1,1,0.7145512,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
34,0.5,1,60.2365213,60.7368709,60.7368709,60.7368709,61.0365401,-1,1,0.5512442,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
35,0.5,1,61.3194461,61.8199045,61.8199045,61.8199045,62.1198213,1,1,0.6698589,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
36,0.5,1,62.5193904,63.0201533,63.0201533,63.0201533,63.3194539,1,1,0.6688487,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
37,0.5,1,63.7197641,64.2201565,64.2201565,64.2201565,64.5196558,1,1,0.9030052,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
38,0.5,1,65.1529868,65.6533948,65.6533948,65.6533948,65.9532819,-1,1,0.607302,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
39,0.5,1,66.2862006,66.7865362,66.7865362,66.7865362,67.0863412,-1,0,0.9854321,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
40,0.5,1.5,67.8029314,68.3034363,68.3034363,68.3034363,68.6031358,-1.5,0,0.5526462,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
41,0.5,2,68.8862137,69.3868475,69.3868475,69.3868475,69.6863789,2,1,0.5286931,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
42,0.5,2,69.9362182,70.436809,70.436809,70.436809,70.7355752,-2,1,1.0657225,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
43,0.5,2,71.5197661,72.0202778,72.0202778,72.0202778,72.3195376,2,1,1.4530203,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
44,0.5,1.5,73.5029561,74.0033707,74.0033707,74.0033707,74.303014,-1.5,0,1.2042391,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
45,0.5,2,75.2363431,75.7368037,75.7368037,75.7368037,76.0360529,-2,0,1.4700041,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
46,0.5,2.5,77.2361206,77.736952,77.736952,77.736952,78.0363152,-2.5,0,1.0109435,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
47,0.5,3,78.7696714,79.2700983,79.2700983,79.2700983,79.569717,-3,0,3.8591774,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
